name,code,pop,ukr_name
Cherkasy,UA-71,83039
Chernihiv,UA-74,32854159
Chernivtsi,UA-77,8352021
Crimea,UA-43,3153731
Dnipropetrovsk,UA-12,3017661
Donetsk,UA-14,16095214
Ivano-Frankivsk,UA-26,64051
Kharkiv,UA-63,38747148
Kherson,UA-65,20310208
Khmelnytskyy,UA-68,724788
Kiev,UA-30,291933
Kirovohrad,UA-35,64174
Luhansk,UA-09,323295
Lviv,UA-46,15328112
Mykolayiv,UA-48,275546
Odessa,UA-51,3915238
Poltava,UA-53,9182015
Rivne,UA-56,47967266
Sumy,UA-59,8490301
Ternopil,UA-61,472419
Vinnytsya,UA-05,186830759
Volyn,UA-07,7744591
Zakarpattia,UA-21,373831
Zaporizhzhya,UA-23,32270507
Zhytomyr,UA-18,13955507
